"Ytrain","PC1","PC2","sexFemale","age","raceAfrican.American","raceAsian","raceCaucasian","raceHispanic","raceOther","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degreeM","log.age.","log.juv_fel_count.","log.juv_misd_count.","log.juv_other_count.","log.priors_count."
2,-0.348260238153588,-1.07435054292067,0,30,0,0,1,0,0,0,0,0,9,0,3.43398720448515,0,0,0,2.30258509299405
2,-0.196728229116635,-0.372975145076453,0,32,1,0,0,0,0,0,0,0,4,0,3.49650756146648,0,0,0,1.6094379124341
1,2.31048083925986,-1.12347428729515,0,55,0,0,1,0,0,0,0,0,0,0,4.02535169073515,0,0,0,0
2,0.609365096190709,-2.54427467476962,0,49,0,0,0,0,1,0,0,0,7,0,3.91202300542815,0,0,0,2.07944154167984
1,-4.02926253915419,1.86362121307117,0,26,0,0,1,0,0,0,0,2,6,1,3.29583686600433,0,0,1.09861228866811,1.94591014905531
2,0.717613880218346,-0.338569747503691,1,33,0,0,1,0,0,0,0,0,4,1,3.52636052461616,0,0,0,1.6094379124341
1,1.39096624087157,1.54128263190359,0,29,0,0,1,0,0,0,0,0,0,1,3.40119738166216,0,0,0,0
1,-0.280026349255688,1.78236049022526,1,21,1,0,0,0,0,0,0,0,2,0,3.09104245335832,0,0,0,1.09861228866811
2,0.68902575686947,1.52238050027795,0,29,1,0,0,0,0,0,0,0,0,0,3.40119738166216,0,0,0,0
2,-0.463222782180173,-0.359546596411375,0,25,0,0,1,0,0,0,0,0,9,1,3.25809653802148,0,0,0,2.30258509299405
2,-9.46880542453147,-0.20792588328624,0,35,1,0,0,0,0,1,0,4,13,0,3.58351893845611,0.693147180559945,0,1.6094379124341,2.63905732961526
1,2.25050917432419,-0.543638748565826,0,49,0,0,1,0,0,0,0,0,0,1,3.91202300542815,0,0,0,0
1,0.68902575686947,1.52238050027795,0,29,1,0,0,0,0,0,0,0,0,0,3.40119738166216,0,0,0,0
2,0.825770616837003,0.871128526525314,0,29,0,0,1,0,0,0,0,0,1,0,3.40119738166216,0,0,0,0.693147180559945
2,-0.488141042363587,-4.31483756767817,0,48,0,0,1,0,0,0,0,0,20,0,3.89182029811063,0,0,0,3.04452243772342
1,2.24330485697091,-2.10552659354689,1,63,0,0,0,1,0,0,0,0,1,0,4.15888308335967,0,0,0,0.693147180559945
2,-3.71143817201634,-0.845783187446727,0,31,1,0,0,0,0,0,0,1,15,0,3.46573590279973,0,0,0.693147180559945,2.77258872223978
2,-0.25878156823329,1.19912396539128,0,24,1,0,0,0,0,0,0,0,2,0,3.2188758248682,0,0,0,1.09861228866811
1,1.35679950083476,1.55299386475339,0,30,0,0,0,1,0,0,0,0,0,1,3.43398720448515,0,0,0,0
1,0.666607207329226,-2.03167630888468,0,49,1,0,0,0,0,0,0,0,4,1,3.91202300542815,0,0,0,1.6094379124341
1,0.706902393306663,-3.23015805245195,0,53,0,0,1,0,0,0,0,0,8,0,3.98898404656427,0,0,0,2.19722457733622
1,-0.199468550915635,-0.92705589380996,0,35,1,0,0,0,0,0,0,0,5,0,3.58351893845611,0,0,0,1.79175946922805
2,0.446382874490993,-4.23356490995835,0,63,1,0,0,0,0,0,0,0,10,1,4.15888308335967,0,0,0,2.39789527279837
2,-10.2631712476292,-0.72858391586491,0,27,1,0,0,0,0,1,1,2,15,0,3.3322045101752,0.693147180559945,0.693147180559945,1.09861228866811,2.77258872223978
2,-2.45335039792009,2.98377324403922,0,22,1,0,0,0,0,0,0,1,1,0,3.13549421592915,0,0,0.693147180559945,0.693147180559945
2,-7.05930624067016,3.30600546252599,0,22,1,0,0,0,0,0,1,2,2,0,3.13549421592915,0,0.693147180559945,1.09861228866811,1.09861228866811
2,0.553677447365367,-2.04117748877965,0,45,0,0,0,1,0,0,0,0,6,0,3.8286413964891,0,0,0,1.94591014905531
1,0.896489100297412,-0.152359285279419,0,39,1,0,0,0,0,0,0,0,1,1,3.68887945411394,0,0,0,0.693147180559945
2,-0.489660649376406,-0.22263926411694,0,29,1,0,0,0,0,0,0,0,5,0,3.40119738166216,0,0,0,1.79175946922805
2,-1.6132966059278,2.23134280314731,0,27,0,0,1,0,0,0,0,1,1,0,3.3322045101752,0,0,0.693147180559945,0.693147180559945
1,0.524521788337978,-0.702413968943213,0,40,1,0,0,0,0,0,0,0,2,0,3.71357206670431,0,0,0,1.09861228866811
2,0.0333493919979768,1.94342607703246,0,22,1,0,0,0,0,0,0,0,1,1,3.13549421592915,0,0,0,0.693147180559945
1,0.839977836161346,2.44424547801966,0,22,0,0,1,0,0,0,0,0,0,0,3.13549421592915,0,0,0,0
2,0.281077007436111,1.43719112657344,1,26,1,0,0,0,0,0,0,0,1,0,3.29583686600433,0,0,0,0.693147180559945
2,0.719900629365842,1.12825002413497,0,27,0,0,1,0,0,0,0,0,1,0,3.3322045101752,0,0,0,0.693147180559945
1,0.83873580850066,1.15890589562233,0,32,1,0,0,0,0,0,0,0,0,0,3.49650756146648,0,0,0,0
1,0.979894319741861,-0.354627194811354,0,41,1,0,0,0,0,0,0,0,1,1,3.73766961828337,0,0,0,0.693147180559945
2,-0.640421067733863,-0.814023450982676,0,30,1,0,0,0,0,0,0,0,8,1,3.43398720448515,0,0,0,2.19722457733622
2,2.07064436229017,-0.521042891148795,0,50,0,0,0,0,1,0,0,0,0,0,3.93182563272433,0,0,0,0
2,-15.70611381806,-1.27464731436941,0,25,1,0,0,0,0,1,6,1,14,0,3.25809653802148,0.693147180559945,1.94591014905531,0.693147180559945,2.70805020110221
2,-2.38013993950716,0.402764250187263,0,22,1,0,0,0,0,1,0,0,2,0,3.13549421592915,0.693147180559945,0,0,1.09861228866811
2,-2.49844506282496,2.51069801103478,0,23,1,0,0,0,0,0,0,1,2,1,3.17805383034795,0,0,0.693147180559945,1.09861228866811
1,0.88565736598894,0.404757231708974,1,35,1,0,0,0,0,0,0,0,1,1,3.58351893845611,0,0,0,0.693147180559945
2,-0.612500521306327,-1.72028667424606,0,36,1,0,0,0,0,0,0,0,9,0,3.61091791264422,0,0,0,2.30258509299405
2,0.301321562733048,2.1664342146862,0,21,0,0,0,0,1,0,0,0,1,0,3.09104245335832,0,0,0,0.693147180559945
2,-0.616725336804603,-0.422292208416948,0,25,0,0,1,0,0,0,0,0,9,0,3.25809653802148,0,0,0,2.30258509299405
1,0.511362910063441,-5.10631651200234,0,71,1,0,0,0,0,0,0,0,12,1,4.27666611901606,0,0,0,2.56494935746154
1,0.874298028862471,2.89249947222851,1,20,0,0,1,0,0,0,0,0,0,0,3.04452243772342,0,0,0,0
2,1.03092626353355,-0.644315651551714,0,39,0,0,1,0,0,0,0,0,2,0,3.68887945411394,0,0,0,1.09861228866811
1,1.79945167867619,-3.28151975914171,0,66,0,0,1,0,0,0,0,0,3,0,4.20469261939097,0,0,0,1.38629436111989
1,2.13989735124994,0.184013419814389,1,44,0,0,0,1,0,0,0,0,0,1,3.80666248977032,0,0,0,0
2,-0.165789605904502,2.42759434096187,0,19,1,0,0,0,0,0,0,0,1,1,2.99573227355399,0,0,0,0.693147180559945
1,0.00171664328381055,1.58449123927807,0,24,1,0,0,0,0,0,0,0,1,0,3.2188758248682,0,0,0,0.693147180559945
1,0.328369981903058,0.791044985683413,0,30,1,0,0,0,0,0,0,0,1,0,3.43398720448515,0,0,0,0.693147180559945
2,1.86774756990518,0.479916358198962,1,39,0,0,1,0,0,0,0,0,0,0,3.68887945411394,0,0,0,0
2,-7.25079389812648,1.68352598161238,0,24,0,0,1,0,0,0,1,2,8,0,3.2188758248682,0,0.693147180559945,1.09861228866811,2.19722457733622
1,1.49188313241673,1.29625540935216,0,31,0,0,1,0,0,0,0,0,0,1,3.46573590279973,0,0,0,0
1,1.45605450049505,-0.127492135173741,1,39,0,0,1,0,0,0,0,0,1,0,3.68887945411394,0,0,0,0.693147180559945
1,1.45571058096708,-0.657320379640727,0,43,0,0,1,0,0,0,0,0,1,0,3.78418963391826,0,0,0,0.693147180559945
2,-0.643252260547377,1.35644527636683,0,21,1,0,0,0,0,0,0,0,3,0,3.09104245335832,0,0,0,1.38629436111989
2,0.635205041262404,-1.23017473322103,0,38,0,0,1,0,0,0,0,0,5,1,3.66356164612965,0,0,0,1.79175946922805
1,1.48175461115921,0.88550623318906,0,34,0,0,1,0,0,0,0,0,0,0,3.55534806148941,0,0,0,0
2,-0.292178997856734,-0.702066845316618,0,33,1,0,0,0,0,0,0,0,5,0,3.52636052461616,0,0,0,1.79175946922805
2,1.4155709135558,-0.560002756012095,0,42,0,0,1,0,0,0,0,0,1,0,3.76120011569356,0,0,0,0.693147180559945
2,-3.22258386698695,-2.4422045543248,0,41,1,0,0,0,0,0,1,0,10,0,3.73766961828337,0,0.693147180559945,0,2.39789527279837
2,0.29153990678368,2.48808895839959,0,22,1,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0,0,0
2,-21.7215358383623,-2.11192908150362,0,33,1,0,0,0,0,0,12,2,28,0,3.52636052461616,0,2.56494935746154,1.09861228866811,3.36729582998647
1,0.531752133628929,0.732690396359382,0,31,1,0,0,0,0,0,0,0,1,1,3.46573590279973,0,0,0,0.693147180559945
1,0.978479733263496,1.05266392123992,1,30,0,0,0,0,1,0,0,0,1,0,3.43398720448515,0,0,0,0.693147180559945
2,-0.664821882716461,-1.74482060998325,0,31,0,0,1,0,0,0,0,0,13,0,3.46573590279973,0,0,0,2.63905732961526
1,0.262313657327625,-3.43780793466058,0,56,1,0,0,0,0,0,0,0,8,0,4.04305126783455,0,0,0,2.19722457733622
1,1.4882433431026,-2.09377510295642,0,52,0,0,1,0,0,0,0,0,3,1,3.97029191355212,0,0,0,1.38629436111989
2,-1.58855613145372,-2.64517588282337,0,33,1,0,0,0,0,0,0,0,19,0,3.52636052461616,0,0,0,2.99573227355399
2,-0.195486201455949,0.912364437320877,0,22,0,0,1,0,0,0,0,0,4,0,3.13549421592915,0,0,0,1.6094379124341
1,0.520160759592829,-1.88900966530846,0,42,0,0,1,0,0,0,0,0,6,0,3.76120011569356,0,0,0,1.94591014905531
1,0.512474626557009,1.14534880841159,1,25,0,0,1,0,0,0,0,0,2,0,3.25809653802148,0,0,0,1.09861228866811
1,1.03031046590515,0.809947117309058,0,30,0,0,1,0,0,0,0,0,1,1,3.43398720448515,0,0,0,0.693147180559945
1,0.512998903748503,0.612706795862433,0,28,0,0,1,0,0,0,0,0,2,0,3.36729582998647,0,0,0,1.09861228866811
1,1.19991201950126,-0.0670433143808581,1,37,0,0,0,0,1,0,0,0,2,1,3.63758615972639,0,0,0,1.09861228866811
2,1.33869273930017,1.6682281751275,0,28,0,0,1,0,0,0,0,0,0,1,3.36729582998647,0,0,0,0
1,0.731542292762776,2.38610158714753,1,24,1,0,0,0,0,0,0,0,0,1,3.2188758248682,0,0,0,0
2,-3.05857498982298,-1.02224697849138,1,29,0,0,1,0,0,0,1,0,10,0,3.40119738166216,0,0.693147180559945,0,2.39789527279837
2,1.38828007935883,-1.07585684400792,0,44,0,0,1,0,0,0,0,0,2,1,3.80666248977032,0,0,0,1.09861228866811
2,0.332462934037433,0.0898234545402154,1,30,0,0,0,1,0,0,0,0,4,0,3.43398720448515,0,0,0,1.6094379124341
2,-0.0320513582738619,-0.12832884300442,0,32,1,0,0,0,0,0,0,0,3,0,3.49650756146648,0,0,0,1.38629436111989
2,0.531752133628929,0.732690396359382,0,31,1,0,0,0,0,0,0,0,1,1,3.46573590279973,0,0,0,0.693147180559945
2,2.03380986589138,-2.05779907291789,0,59,0,0,1,0,0,0,0,0,1,0,4.0943445622221,0,0,0,0.693147180559945
1,1.07515069304611,-1.64082513838981,1,45,0,0,1,0,0,0,0,0,4,0,3.8286413964891,0,0,0,1.6094379124341
1,2.18553623044605,0.144289968228727,1,43,0,0,1,0,0,0,0,0,0,1,3.78418963391826,0,0,0,0
2,-5.25071383604344,-3.0828654182752,0,38,1,0,0,0,0,1,1,0,9,0,3.66356164612965,0.693147180559945,0.693147180559945,0,2.30258509299405
2,-0.988648806926621,-1.55561112155197,0,32,1,0,0,0,0,0,0,0,11,0,3.49650756146648,0,0,0,2.484906649788
2,-0.493976710657912,-1.16952401096052,0,33,1,0,0,0,0,0,0,0,8,1,3.52636052461616,0,0,0,2.19722457733622
2,0.954572673859034,1.40880952021769,1,31,1,0,0,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0
2,-0.373545886213874,-0.937487326074033,1,33,1,0,0,0,0,0,0,0,7,0,3.52636052461616,0,0,0,2.07944154167984
2,-0.0890355115289249,0.7867262306281,0,27,1,0,0,0,0,0,0,0,2,0,3.3322045101752,0,0,0,1.09861228866811
1,1.39471056084834,2.06350175157179,1,26,0,0,1,0,0,0,0,0,0,1,3.29583686600433,0,0,0,0
2,1.71561531068708,-2.0413237685888,1,61,1,0,0,0,0,0,0,0,1,0,4.12713438504509,0,0,0,0.693147180559945
2,0.1393672912823,-3.67361021021981,0,52,0,0,0,0,1,0,0,0,13,0,3.97029191355212,0,0,0,2.63905732961526
1,2.07867483152651,-2.23698283603807,0,63,0,0,0,1,0,0,0,0,1,0,4.15888308335967,0,0,0,0.693147180559945
2,-0.0320982036722341,-0.241518902585275,1,32,1,0,0,0,0,0,0,0,4,0,3.49650756146648,0,0,0,1.6094379124341
1,0.740566582356472,1.00676678059695,0,29,0,0,0,1,0,0,0,0,1,0,3.40119738166216,0,0,0,0.693147180559945
1,1.67445372831685,-0.635636608724401,1,46,0,0,0,0,1,0,0,0,1,0,3.85014760171006,0,0,0,0.693147180559945
1,1.0447582977321,-2.3041199335364,0,55,1,0,0,0,0,0,0,0,3,1,4.02535169073515,0,0,0,1.38629436111989
2,0.582343839360738,0.198831502540618,1,30,0,0,1,0,0,0,0,0,3,0,3.43398720448515,0,0,0,1.38629436111989
1,1.541277071085,-1.44666353042742,0,48,0,0,1,0,0,0,0,0,2,1,3.89182029811063,0,0,0,1.09861228866811
2,0.677371752371105,-2.27010593395721,0,46,0,0,1,0,0,0,0,0,6,0,3.85014760171006,0,0,0,1.94591014905531
1,0.954533421771057,-2.41134352074929,1,49,0,0,1,0,0,0,0,0,6,0,3.91202300542815,0,0,0,1.94591014905531
1,1.3383805777923,1.23350979734658,0,31,0,0,1,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0
2,0.213407437876473,1.50584893219271,0,25,1,0,0,0,0,0,0,0,1,1,3.25809653802148,0,0,0,0.693147180559945
1,-0.175320572300815,-0.454657626281378,1,32,1,0,0,0,0,0,0,0,5,0,3.49650756146648,0,0,0,1.79175946922805
1,1.60163519446935,-1.66367787751754,0,52,0,0,0,1,0,0,0,0,2,1,3.97029191355212,0,0,0,1.09861228866811
1,0.461059605982058,-3.91893494806175,0,62,1,0,0,0,0,0,0,0,8,0,4.14313472639153,0,0,0,2.19722457733622
1,0.47445572589259,-1.24743473524127,1,37,0,0,1,0,0,0,0,0,6,0,3.63758615972639,0,0,0,1.94591014905531
1,1.89878776984973,-1.73088278066785,0,55,0,0,1,0,0,0,0,0,1,0,4.02535169073515,0,0,0,0.693147180559945
2,-0.280810130359718,-0.90607449062615,0,31,0,0,0,1,0,0,0,0,8,0,3.46573590279973,0,0,0,2.19722457733622
1,1.51847346449367,-1.89679127305527,0,54,0,0,0,1,0,0,0,0,2,0,4.00733318523247,0,0,0,1.09861228866811
1,2.32703386548776,-1.23422090839499,0,58,0,0,0,1,0,0,0,0,0,0,4.07753744390572,0,0,0,0
1,2.34473826037678,-1.20642887299615,0,56,0,0,1,0,0,0,0,0,0,0,4.04305126783455,0,0,0,0
1,0.898889438609981,2.32206242571611,0,24,0,0,0,0,1,0,0,0,0,0,3.2188758248682,0,0,0,0
2,-11.8378127298097,-4.34331669986529,0,38,1,0,0,0,0,2,2,1,22,0,3.66356164612965,1.09861228866811,1.09861228866811,0.693147180559945,3.13549421592915
2,-0.120153162626454,1.88068046502688,0,22,1,0,0,0,0,0,0,0,1,0,3.13549421592915,0,0,0,0.693147180559945
2,-1.1329626155954,-4.43768299748189,0,47,1,0,0,0,0,0,0,0,23,1,3.87120101090789,0,0,0,3.17805383034795
2,0.506943453395911,2.40038099928194,0,23,1,0,0,0,0,0,0,0,0,1,3.17805383034795,0,0,0,0
1,1.8817562755542,-1.76031787830215,0,57,0,0,0,1,0,0,0,0,1,0,4.06044301054642,0,0,0,0.693147180559945
2,1.15282763740102,-0.40922010560004,1,38,0,0,1,0,0,0,0,0,2,0,3.66356164612965,0,0,0,1.09861228866811
2,0.565500586171945,-2.452877270221,0,45,0,0,1,0,0,0,0,0,8,1,3.8286413964891,0,0,0,2.19722457733622
2,2.46070233185989,-0.501077948393232,1,52,0,0,0,0,1,0,0,0,0,1,3.97029191355212,0,0,0,0
2,0.54980226814082,-0.328662249937367,0,37,1,0,0,0,0,0,0,0,2,1,3.63758615972639,0,0,0,1.09861228866811
2,1.70311754446078,0.348460115707784,0,39,0,0,1,0,0,0,0,0,0,0,3.68887945411394,0,0,0,0
1,1.27379342429177,-1.2331761074417,0,45,0,0,1,0,0,0,0,0,2,0,3.8286413964891,0,0,0,1.09861228866811
2,0.35344089877148,2.33763538727636,0,23,1,0,0,0,0,0,0,0,0,0,3.17805383034795,0,0,0,0
2,0.414627955478742,-0.000680441684936348,0,34,1,0,0,0,0,0,0,0,2,1,3.55534806148941,0,0,0,1.09861228866811
1,0.259880409430179,1.92442874840041,1,23,1,0,0,0,0,0,0,0,1,1,3.17805383034795,0,0,0,0.693147180559945
1,1.72190949634167,-1.30245755796676,0,50,0,0,1,0,0,0,0,0,1,0,3.93182563272433,0,0,0,0.693147180559945
1,1.93506150389012,0.751726279433381,1,37,0,0,1,0,0,0,0,0,0,1,3.63758615972639,0,0,0,0
2,-4.34305612690114,-3.22639950343939,1,35,1,0,0,0,0,0,1,0,23,0,3.58351893845611,0,0.693147180559945,0,3.17805383034795
2,-0.279796967635895,0.577042661321221,0,24,0,0,0,0,1,0,0,0,5,0,3.2188758248682,0,0,0,1.79175946922805
2,-0.144051229525391,0.920367610195471,0,26,1,0,0,0,0,0,0,0,2,0,3.29583686600433,0,0,0,1.09861228866811
2,0.0400190349499365,-2.76442890344233,0,43,0,0,1,0,0,0,0,0,11,0,3.78418963391826,0,0,0,2.484906649788
2,-0.0748631099272789,-0.374957682030369,1,28,0,0,1,0,0,0,0,0,7,0,3.36729582998647,0,0,0,2.07944154167984
1,0.439759682578949,-0.496832867711291,0,38,1,0,0,0,0,0,0,0,2,0,3.66356164612965,0,0,0,1.09861228866811
1,0.612904972473172,0.805628362253745,0,27,0,0,1,0,0,0,0,0,2,1,3.3322045101752,0,0,0,1.09861228866811
1,0.389689211332339,1.17337379262033,1,28,1,0,0,0,0,0,0,0,1,0,3.36729582998647,0,0,0,0.693147180559945
2,0.920054940329359,-3.31832536063963,0,56,0,0,1,0,0,0,0,0,7,0,4.04305126783455,0,0,0,2.07944154167984
1,-1.05623262163115,-2.73028634463737,0,38,1,0,0,0,0,0,0,0,15,0,3.66356164612965,0,0,0,2.77258872223978
1,0.118063528995267,0.719295888247934,0,28,1,0,0,0,0,0,0,0,2,1,3.36729582998647,0,0,0,1.09861228866811
1,0.526759609066811,-1.48379159842903,0,45,1,0,0,0,0,0,0,0,3,0,3.8286413964891,0,0,0,1.38629436111989
1,1.25348870481964,1.80386642919914,0,28,0,0,0,1,0,0,0,0,0,1,3.36729582998647,0,0,0,0
1,2.09942321462035,-2.21662349145991,0,61,0,0,1,0,0,0,0,0,1,0,4.12713438504509,0,0,0,0.693147180559945
2,2.48790349402207,-0.588467822485778,1,51,0,0,1,0,0,0,0,0,0,1,3.95124371858143,0,0,0,0
1,2.32327346857767,-0.719924064976957,0,51,0,0,1,0,0,0,0,0,0,1,3.95124371858143,0,0,0,0
2,1.25154990866845,0.294173679048999,0,36,0,0,0,0,1,0,0,0,1,1,3.61091791264422,0,0,0,0.693147180559945
2,0.581464886203995,-0.974356615762153,0,37,0,0,1,0,0,0,0,0,4,0,3.63758615972639,0,0,0,1.6094379124341
1,0.37753100835052,-1.36078222334236,1,41,1,0,0,0,0,0,0,0,5,1,3.73766961828337,0,0,0,1.79175946922805
2,-1.24422884602897,-0.935015019286703,0,27,1,0,0,0,0,0,0,0,11,0,3.3322045101752,0,0,0,2.484906649788
1,-0.0999537649035076,-3.71032729666177,0,54,1,0,0,0,0,0,0,0,11,0,4.00733318523247,0,0,0,2.484906649788
1,-0.318750382155754,1.34485962001687,0,23,1,0,0,0,0,0,0,0,2,0,3.17805383034795,0,0,0,1.09861228866811
2,0.02057879591901,1.05182385268665,1,26,1,0,0,0,0,0,0,0,2,0,3.29583686600433,0,0,0,1.09861228866811
1,1.39158738915199,0.252781298561349,0,41,1,0,0,0,0,0,0,0,0,1,3.73766961828337,0,0,0,0
1,2.20552795525269,-0.869285976335242,0,52,0,0,1,0,0,0,0,0,0,0,3.97029191355212,0,0,0,0
2,-0.135798810131543,-3.02824229359785,0,43,0,0,1,0,0,0,0,0,13,0,3.78418963391826,0,0,0,2.63905732961526
1,1.65709002587502,-0.825442495955314,0,52,1,0,0,0,0,0,0,0,0,0,3.97029191355212,0,0,0,0
1,0.773497115265604,0.998074069749228,0,28,0,0,1,0,0,0,0,0,1,0,3.36729582998647,0,0,0,0.693147180559945
1,0.773497115265604,0.998074069749228,0,28,0,0,1,0,0,0,0,0,1,0,3.36729582998647,0,0,0,0.693147180559945
1,0.29153990678368,2.48808895839959,0,22,1,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0,0,0
1,-0.295400986304103,-0.133427561642666,0,30,1,0,0,0,0,0,0,0,4,0,3.43398720448515,0,0,0,1.6094379124341
2,1.3383805777923,1.23350979734658,0,31,0,0,1,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0
2,1.61692892382129,0.557524424936629,0,37,0,0,1,0,0,0,0,0,0,0,3.63758615972639,0,0,0,0
1,1.98269855219245,-1.49959839177472,0,53,0,0,1,0,0,0,0,0,1,1,3.98898404656427,0,0,0,0.693147180559945
2,-2.2606062242202,-2.67580948367545,0,28,1,0,0,0,0,0,0,0,25,0,3.36729582998647,0,0,0,3.25809653802148
2,0.526484686614582,-2.35830361879279,0,44,0,0,1,0,0,0,0,0,8,1,3.80666248977032,0,0,0,2.19722457733622
1,0.471597952662176,2.05051181355984,0,25,1,0,0,0,0,0,0,0,0,0,3.25809653802148,0,0,0,0
2,-1.751409913918,3.00267537566487,0,22,0,0,1,0,0,0,0,1,1,1,3.13549421592915,0,0,0.693147180559945,0.693147180559945
1,0.976035653851128,-0.735254004753954,1,40,0,0,0,0,1,0,0,0,3,0,3.71357206670431,0,0,0,1.38629436111989
1,0.253036943073563,-0.177271042022594,0,30,0,0,1,0,0,0,0,0,4,0,3.43398720448515,0,0,0,1.6094379124341
2,-0.425744705366411,1.26359983177841,0,22,1,0,0,0,0,0,0,0,3,1,3.13549421592915,0,0,0,1.38629436111989
2,-0.134128842751782,0.555012871266421,0,27,1,0,0,0,0,0,0,0,3,1,3.3322045101752,0,0,0,1.38629436111989
1,1.5713091233806,1.56334990591497,1,31,0,0,0,1,0,0,0,0,0,1,3.46573590279973,0,0,0,0
2,-6.55750980664168,3.72521797940422,1,23,0,0,1,0,0,0,0,4,5,0,3.17805383034795,0,0,1.6094379124341,1.79175946922805
1,1.03014616221551,2.34644011834805,0,24,0,0,0,1,0,0,0,0,0,1,3.2188758248682,0,0,0,0
1,0.430835242083767,0.977717618910815,0,29,1,0,0,0,0,0,0,0,1,1,3.40119738166216,0,0,0,0.693147180559945
2,-0.25046299536973,2.19747821674456,0,20,1,0,0,0,0,0,0,0,1,0,3.04452243772342,0,0,0,0.693147180559945
2,0.0678717703859573,0.405677711796618,0,30,1,0,0,0,0,0,0,0,2,0,3.43398720448515,0,0,0,1.09861228866811
1,1.64015934099915,0.522466289153042,0,39,0,0,0,0,1,0,0,0,0,0,3.68887945411394,0,0,0,0
1,-0.452308268218986,0.247620957188815,0,27,1,0,0,0,0,0,0,0,4,0,3.3322045101752,0,0,0,1.6094379124341
2,0.819691851489495,0.303479642092659,0,31,0,0,1,0,0,0,0,0,2,1,3.46573590279973,0,0,0,1.09861228866811
